,Year,"Dairy, Milk, Fluid",Honey,"Meat, Beef and Veal","Meat, Chicken","Meat, Swine","Poultry, Meat, Turkey"
0,1998,71334000.0,99571.62321,11804.0,,8623.0,2365000.0
1,1999,73750000.0,91800.71933,12124.0,13618000.0,8758.0,2372000.0
2,2000,75929000.0,99589.31322,12298.0,13943000.0,8596.0,2419000.0
3,2001,74994000.0,84253.43532,11983.0,14267000.0,8691.0,2490000.0
4,2002,77140000.0,77684.09135,12427.0,14715000.0,8929.0,2557000.0
5,2003,77290000.0,82268.52548,12039.0,14924000.0,9056.0,2529000.0
6,2004,77535000.0,82884.04711,11261.0,15514000.0,9313.0,2441000.0
7,2005,80286000.0,78910.59871,11318.0,16104000.0,9392.0,2464000.0
8,2006,82582000.0,69960.81442,11981.0,16159000.0,9632.0,2545000.0
9,2007,84211000.0,66959.40939,12168.0,16452000.0,9962.0,2667000.0
10,2008,86410000.0,73922.46948,12226.0,16815000.0,10684.0,2801000.0
11,2009,86817000.0,65801.39412,12203.0,16162000.0,10507.0,2733000.0
12,2010,87488000.0,79511.60546,12048.0,16791000.0,10187.0,2607000.0
13,2011,89020000.0,66768.90159,12048.0,16931000.0,10332.0,2593000.0
14,2012,91010000.0,63914.00613,11855.0,16856000.0,10575.0,2675000.0
