,Year,"Almonds, Shelled Basis","Apples, Fresh",Barley,"Coffee, Green",Corn,"Dairy, Milk, Fluid","Grapefruit, Fresh","Meat, Swine",Oats,"Oil, Soybean","Oilseed, Rapeseed",Rye,"Walnuts, Inshell Basis"
0,1998,235884.0,5282724.0,235884000.0,14153040.0,4822010000.0,326151000.0,185000.0,4740312000000.0,247882000.0,4176508000.0,5214000.0,2114000.0,205931.0
1,1999,377800.0,5746060.0,361362000.0,21681720.0,4800686000.0,77534000.0,183000.0,4476775000000.0,239549000.0,3797778000.0,662250000.0,2165000.0,256734.0
2,2000,318900.0,5675890.0,303700000.0,18222000.0,4274204000.0,332092000.0,163000.0,239549000000.0,251854000.0,3946939000.0,307386000.0,1707000.0,216816.0
3,2001,376500.0,5065060.0,376488000.0,22589280.0,3866379000.0,305319000.0,163000.0,251854000000.0,241377000.0,4354875000.0,312180000.0,1684000.0,276700.0
4,2002,494416.0,4605810.0,494416000.0,268606500000.0,3988483000.0,83581000.0,186000.0,387186000000.0,227767000.0,4433333000.0,332092000.0,2096000.0,255825.0
5,2003,471740.0,4780600.0,458582000.0,27759840000.0,4740312000.0,8782000.0,146000.0,5282724000000.0,256278000.0,4113333000.0,306652000.0,332092000.0,295741.0
6,2004,462664.0,5683040.0,462664000.0,23231160000.0,4476775000.0,9331000.0,4463810000.0,303700000000.0,299914000.0,4287885000.0,508020000.0,9335000.0,294834.0
7,2005,415040.0,5261960.0,387186000.0,21681720000.0,4734966000.0,9247000.0,8781000.0,4822010000000.0,282260000.0,4183484000.0,80286000.0,458582000.0,322100.0
8,2006,508023.0,5351610.0,5282724000.0,316963440000.0,4473878000.0,361091000.0,9392000.0,4800686000000.0,295741000.0,4227338000.0,630490000.0,4699002000.0,317515.0
9,2007,630500.0,4154195.0,4780600000.0,288041160000.0,4408118000.0,345486000.0,329059000.0,4274204000000.0,4567846000.0,415040000.0,680400000.0,4354875000.0,297600.0
10,2008,739400.0,4508344.0,5683040000.0,256452240000.0,5351610000.0,4710106000.0,4686927000.0,3866379000000.0,4154195000.0,748430000.0,332092000.0,332092000.0,395533.0
11,2009,639600.0,4505000.0,5261960000.0,231982740000.0,4881838000.0,4177266000.0,4339653000.0,3988483000000.0,5746060000.0,5675890000.0,5065060000.0,4605810000.0,396440.0
12,2010,748430.0,4219541.0,4102967000.0,239308980000.0,4738501000.0,3798467000.0,4413590000.0,216816000000.0,4417800000.0,4505000000.0,4224307000.0,395530000.0,462660.0
13,2011,920800.0,4231474.0,4327180000.0,284418720000.0,4358750000.0,3942665000.0,333011000.0,276690000000.0,639570000.0,4175497000.0,4200000000.0,4339653000.0,440000.0
14,2012,952500.0,4200000.0,4403565000.0,16727820000.0,743900000.0,276700000.0,316165000.0,288041160000.0,471700000.0,4183525000.0,4686927000.0,4413590000.0,450871.0
15,2013,911720.0,4731741.0,639570000.0,4280040000.0,884500000.0,457221000.0,93123000.0,4463810000000.0,4287898000.0,4279917000.0,4231474000.0,471740000.0,449057.0
16,2014,952540.0,5111942.0,4227000000.0,14872920000.0,911720000.0,418212000.0,272432000.0,294834000000.0,415037000.0,4323508000.0,4048993000.0,316165000.0,518003.0
17,2015,861830.0,4561000.0,4693276000.0,4628400000.0,4520911000.0,450871000.0,10331000.0,308440000000.0,739356000.0,911720000.0,639565000.0,4287885000.0,549754.0
18,2016,970690.0,5010201.0,4044503000.0,577920000.0,816470000.0,446335000.0,929860000.0,277005000000.0,639565000.0,920793000.0,4327136000.0,4231474000.0,625050.0
19,2017,1029650.0,5084727.0,4673318000.0,558720000.0,5079465000.0,857290000.0,361091000.0,9250000000.0,361091000.0,4561000000.0,4877197000.0,4048993000.0,589670.0
20,2018,1111300.0,5048000.0,4231474000.0,501300000.0,4690101000.0,911720000.0,384778000.0,4734966000000.0,5074793000.0,920793000.0,5066991000.0,929860000.0,625958.0
21,2019,1156660.0,4851625.0,848220000.0,514320000.0,4690101000.0,848220000.0,360302000.0,4473878000000.0,547030000.0,4048993000.0,4501633000.0,857290000.0,594206.0
22,2020,1412940.0,4671000.0,848220000.0,526860000.0,4520684000.0,861830000.0,10525000.0,282260000000.0,4649323000.0,4690101000.0,4649323000.0,911720000.0,712140.0
23,2021,1270060.0,4607646.0,99473000.0,549300000.0,4912089000.0,345506000.0,10368000.0,9147000000.0,4653000000.0,384778000.0,370960000.0,356632000.0,607814.0
